#FIXME: nie ma form deprecjacyjnych
ABB - +A(subst:$n:$c:$g)	ABBA(subst:$n:$c:$g)
PAX - owski(adj:$n:$c:$g:pos)	PAX-owski(adj:$n:$c:$g:pos)
PGR - owski(adj:$n:$c:$g:pos)	PGR-owski(adj:$n:$c:$g:pos)
ping - pongowy(adj:$n:$c:$g:pos)	ping-pongowy(adj:$n:$c:$g:pos)
PiS - owski(adj:$n:$c:$g:pos)	PiS-owski(adj:$n:$c:$g:pos)
PIW - owski(adj:$n:$c:$g:pos)	PIW-owski(adj:$n:$c:$g:pos)
pop - artowski(adj:$n:$c:$g:pos)	pop-artowski(adj:$n:$c:$g:pos)
północno - wschodni(adj:$n:$c:$g:pos)	północno-wschodni(adj:$n:$c:$g:pos)
północo - wschodni(adj:$n:$c:$g:pos)	północo-wschodni(adj:$n:$c:$g:pos)
północo - zachodni(adj:$n:$c:$g:pos)	północo-zachodni(adj:$n:$c:$g:pos)
PPS - owski(adj:$n:$c:$g:pos)	PPS-owski(adj:$n:$c:$g:pos)
PRL - owski(adj:$n:$c:$g:pos)	PRL-owski(adj:$n:$c:$g:pos)
PSL - owski(adj:$n:$c:$g:pos)	PSL-owski(adj:$n:$c:$g:pos)
PTTK - owski(adj:$n:$c:$g:pos)	PTTK-owski(adj:$n:$c:$g:pos)
PWN - owski(adj:$n:$c:$g:pos)	PWN-owski(adj:$n:$c:$g:pos)
PZPR - owski(adj:$n:$c:$g:pos)	PZPR-owski(adj:$n:$c:$g:pos)
RFN - owski(adj:$n:$c:$g:pos)	RFN-owski(adj:$n:$c:$g:pos)
rock ’ n ’ rollowy(adj:$n:$c:$g:pos)	rock’n’rollowy(adj:$n:$c:$g:pos)
RWPG - owski(adj:$n:$c:$g:pos)	RWPG-owski(adj:$n:$c:$g:pos)
saussure ’ owski(adj:$n:$c:$g:pos)	saussure’owski(adj:$n:$c:$g:pos)
semito - chamicki(adj:$n:$c:$g:pos)	semito-chamicki(adj:$n:$c:$g:pos)
SLD - owski(adj:$n:$c:$g:pos)	SLD-owski(adj:$n:$c:$g:pos)
software ’ owy(adj:$n:$c:$g:pos)	software’owy(adj:$n:$c:$g:pos)
staro - cerkiewno - słowiański(adj:$n:$c:$g:pos)	staro-cerkiewno-słowiański(adj:$n:$c:$g:pos)
tien - szański(adj:$n:$c:$g:pos)	tien-szański(adj:$n:$c:$g:pos)
TPD - owski(adj:$n:$c:$g:pos)	TPD-owski(adj:$n:$c:$g:pos)
uralo - ałtajski(adj:$n:$c:$g:pos)	uralo-ałtajski(adj:$n:$c:$g:pos)
VAT - owski(adj:$n:$c:$g:pos)	VAT-owski(adj:$n:$c:$g:pos)
WAT - owski(adj:$n:$c:$g:pos)	WAT-owski(adj:$n:$c:$g:pos)
ZChN - owski(adj:$n:$c:$g:pos)	ZChN-owski(adj:$n:$c:$g:pos)
zero - jedynkowy(adj:$n:$c:$g:pos)	zero-jedynkowy(adj:$n:$c:$g:pos)
ZOMO - wski(adj:$n:$c:$g:pos)	ZOMO-wski(adj:$n:$c:$g:pos)
acting - out(subst:$n:$c:$g)	acting-out(subst:$n:$c:$g)
Ad - Dauha(subst:$n:$c:$g)	Ad-Dauha(subst:$n:$c:$g)
agar - agar(subst:$n:$c:$g)	agar-agar(subst:$n:$c:$g)
aide - mémoire(subst:$n:$c:$g)	aide-mémoire(subst:$n:$c:$g)
AK - owiec(subst:$n:$c:$g)	AK-owiec(subst:$n:$c:$g)
alfa - hydroksykwas(subst:$n:$c:$g)	alfa-hydroksykwas(subst:$n:$c:$g)
AL - owiec(subst:$n:$c:$g)	AL-owiec(subst:$n:$c:$g)
Ałma - Ata(subst:$n:$c:$g)	Ałma-Ata(subst:$n:$c:$g)
Amu - daria(subst:$n:$c:$g)	Amu-daria(subst:$n:$c:$g)
anglo - amerykańskość(subst:$n:$c:$g)	anglo-amerykańskość(subst:$n:$c:$g)
austro - węgierskość(subst:$n:$c:$g)	austro-węgierskość(subst:$n:$c:$g)
AWD - Arena(subst:$n:$c:$g)	AWD-Arena(subst:$n:$c:$g)
baba - jaga(subst:$n:$c:$g)	baba-jaga(subst:$n:$c:$g)
baby - sitter(subst:$n:$c:$g)	baby-sitter(subst:$n:$c:$g)
back - office(subst:$n:$c:$g)	back-office(subst:$n:$c:$g)
Bács - Kiskun(subst:$n:$c:$g)	Bács-Kiskun(subst:$n:$c:$g)
Baden - Powell(subst:$n:$c:$g)	Baden-Powell(subst:$n:$c:$g)
bas - baryton(subst:$n:$c:$g)	bas-baryton(subst:$n:$c:$g)
bas - relief(subst:$n:$c:$g)	bas-relief(subst:$n:$c:$g)
Basse - Terre(subst:$n:$c:$g)	Basse-Terre(subst:$n:$c:$g)
beri - beri(subst:$n:$c:$g)	beri-beri(subst:$n:$c:$g)
beta - bloker(subst:$n:$c:$g)	beta-bloker(subst:$n:$c:$g)
beta - karoten(subst:$n:$c:$g)	beta-karoten(subst:$n:$c:$g)
Bielsko - Biała(subst:$n:$c:$g)	Bielsko-Biała(subst:$n:$c:$g)
big - band(subst:$n:$c:$g)	big-band(subst:$n:$c:$g)
big - beat(subst:$n:$c:$g)	big-beat(subst:$n:$c:$g)
bon - mot(subst:$n:$c:$g)	bon-mot(subst:$n:$c:$g)
bon - vivant(subst:$n:$c:$g)	bon-vivant(subst:$n:$c:$g)
boogie - woogie(subst:$n:$c:$g)	boogie-woogie(subst:$n:$c:$g)
Bora - Bora(subst:$n:$c:$g)	Bora-Bora(subst:$n:$c:$g)
by - pass(subst:$n:$c:$g)	by-pass(subst:$n:$c:$g)
cache - pot(subst:$n:$c:$g)	cache-pot(subst:$n:$c:$g)
cake - walk(subst:$n:$c:$g)	cake-walk(subst:$n:$c:$g)
call - girl(subst:$n:$c:$g)	call-girl(subst:$n:$c:$g)
CB - radio(subst:$n:$c:$g)	CB-radio(subst:$n:$c:$g)
CD - ROM(subst:$n:$c:$g)	CD-ROM(subst:$n:$c:$g)
cha - cha(subst:$n:$c:$g)	cha-cha(subst:$n:$c:$g)
chłodziarko - zamrażarka(subst:$n:$c:$g)	chłodziarko-zamrażarka(subst:$n:$c:$g)
chow - chow(subst:$n:$c:$g)	chow-chow(subst:$n:$c:$g)
ciepło - zimno(subst:$n:$c:$g)	ciepło-zimno(subst:$n:$c:$g)
cinéma - vérité(subst:$n:$c:$g)	cinéma-vérité(subst:$n:$c:$g)
coca - cola(subst:$n:$c:$g)	coca-cola(subst:$n:$c:$g)
cocker - spaniel(subst:$n:$c:$g)	cocker-spaniel(subst:$n:$c:$g)
cocktail - bar(subst:$n:$c:$g)	cocktail-bar(subst:$n:$c:$g)
cocktail - party(subst:$n:$c:$g)	cocktail-party(subst:$n:$c:$g)
coming - out(subst:$n:$c:$g)	coming-out(subst:$n:$c:$g)
crossing - over(subst:$n:$c:$g)	crossing-over(subst:$n:$c:$g)
Cy - jang(subst:$n:$c:$g)	Cy-jang(subst:$n:$c:$g)
cza - cza(subst:$n:$c:$g)	cza-cza(subst:$n:$c:$g)
czau - czau(subst:$n:$c:$g)	czau-czau(subst:$n:$c:$g)
Czyngis - chan(subst:$n:$c:$g)	Czyngis-chan(subst:$n:$c:$g)
d ’ Alembert(subst:$n:$c:$g)	d’Alembert(subst:$n:$c:$g)
d ’ Annunzio(subst:$n:$c:$g)	d’Annunzio(subst:$n:$c:$g)
d ’ Arc(subst:$n:$c:$g)	d’Arc(subst:$n:$c:$g)
d ’ Arquien(subst:$n:$c:$g)	d’Arquien(subst:$n:$c:$g)
d - ca(subst:$n:$c:$g)	d-ca(subst:$n:$c:$g)
dell ’ arte(subst:$n:$c:$g)	dell’arte(subst:$n:$c:$g)
d ’ Estaing(subst:$n:$c:$g)	d’Estaing(subst:$n:$c:$g)
drink - bar(subst:$n:$c:$g)	drink-bar(subst:$n:$c:$g)
DVD - ROM(subst:$n:$c:$g)	DVD-ROM(subst:$n:$c:$g)
dżiu - dżitsu(subst:$n:$c:$g)	dżiu-dżitsu(subst:$n:$c:$g)
dżu - dżitsu(subst:$n:$c:$g)	dżu-dżitsu(subst:$n:$c:$g)
Dżyngis - chan(subst:$n:$c:$g)	Dżyngis-chan(subst:$n:$c:$g)
e - biznes(subst:$n:$c:$g)	e-biznes(subst:$n:$c:$g)
e - book(subst:$n:$c:$g)	e-book(subst:$n:$c:$g)
e - bussiness(subst:$n:$c:$g)	e-bussiness(subst:$n:$c:$g)
eka - pierwiastek(subst:$n:$c:$g)	eka-pierwiastek(subst:$n:$c:$g)
e - learning(subst:$n:$c:$g)	e-learning(subst:$n:$c:$g)
e - mail(subst:$n:$c:$g)	e-mail(subst:$n:$c:$g)
e - mailing(subst:$n:$c:$g)	e-mailing(subst:$n:$c:$g)
e - mailowość(subst:$n:$c:$g)	e-mailowość(subst:$n:$c:$g)
En - laj(subst:$n:$c:$g)	En-laj(subst:$n:$c:$g)
e - podpis(subst:$n:$c:$g)	e-podpis(subst:$n:$c:$g)
f - ka(subst:$n:$c:$g)	f-ka(subst:$n:$c:$g)
f - ma(subst:$n:$c:$g)	f-ma(subst:$n:$c:$g)
Fort - de - France(subst:$n:$c:$g)	Fort-de-France(subst:$n:$c:$g)
Franche - Comté(subst:$n:$c:$g)	Franche-Comté(subst:$n:$c:$g)
frezarko - kopiarka(subst:$n:$c:$g)	frezarko-kopiarka(subst:$n:$c:$g)
full - contact(subst:$n:$c:$g)	full-contact(subst:$n:$c:$g)
gadu - gadu(subst:$n:$c:$g)	gadu-gadu(subst:$n:$c:$g)
gamma - globulina(subst:$n:$c:$g)	gamma-globulina(subst:$n:$c:$g)
Gay - Lussac(subst:$n:$c:$g)	Gay-Lussac(subst:$n:$c:$g)
git - człowiek(subst:$n:$c:$g)	git-człowiek(subst:$n:$c:$g)
go - cart(subst:$n:$c:$g)	go-cart(subst:$n:$c:$g)
gore - tex(subst:$n:$c:$g)	gore-tex(subst:$n:$c:$g)
Gross - Rosen(subst:$n:$c:$g)	Gross-Rosen(subst:$n:$c:$g)
grzbieto - brzuszność(subst:$n:$c:$g)	grzbieto-brzuszność(subst:$n:$c:$g)
ha - szana(subst:$n:$c:$g)	ha-szana(subst:$n:$c:$g)
hatha - joga(subst:$n:$c:$g)	hatha-joga(subst:$n:$c:$g)
Hauts - de - Seine(subst:$n:$c:$g)	Hauts-de-Seine(subst:$n:$c:$g)
head - hunter(subst:$n:$c:$g)	head-hunter(subst:$n:$c:$g)
Heini - Klopfer - Skiflugschanze(subst:$n:$c:$g)	Heini-Klopfer-Skiflugschanze(subst:$n:$c:$g)
herod - baba(subst:$n:$c:$g)	herod-baba(subst:$n:$c:$g)
hetka - pętelka(subst:$n:$c:$g)	hetka-pętelka(subst:$n:$c:$g)
hi - end(subst:$n:$c:$g)	hi-end(subst:$n:$c:$g)
hi - fi(subst:$n:$c:$g)	hi-fi(subst:$n:$c:$g)
high - life(subst:$n:$c:$g)	high-life(subst:$n:$c:$g)
high - tech(subst:$n:$c:$g)	high-tech(subst:$n:$c:$g)
hi - hat(subst:$n:$c:$g)	hi-hat(subst:$n:$c:$g)
hip - hop(subst:$n:$c:$g)	hip-hop(subst:$n:$c:$g)
hip - hopowiec(subst:$n:$c:$g)	hip-hopowiec(subst:$n:$c:$g)
hip - hopowość(subst:$n:$c:$g)	hip-hopowość(subst:$n:$c:$g)
hokus - pokus(subst:$n:$c:$g)	hokus-pokus(subst:$n:$c:$g)
hot - dog(subst:$n:$c:$g)	hot-dog(subst:$n:$c:$g)
hula - hoop(subst:$n:$c:$g)	hula-hoop(subst:$n:$c:$g)
hula - hop(subst:$n:$c:$g)	hula-hop(subst:$n:$c:$g)
Hyde - Park(subst:$n:$c:$g)	Hyde-Park(subst:$n:$c:$g)
Île - de - France(subst:$n:$c:$g)	Île-de-France(subst:$n:$c:$g)
Issyk - kul(subst:$n:$c:$g)	Issyk-kul(subst:$n:$c:$g)
ITAR - TASS(subst:$n:$c:$g)	ITAR-TASS(subst:$n:$c:$g)
Jász - Nagykun - Szolnok(subst:$n:$c:$g)	Jász-Nagykun-Szolnok(subst:$n:$c:$g)
jazz - band(subst:$n:$c:$g)	jazz-band(subst:$n:$c:$g)
jazz - jamboree(subst:$n:$c:$g)	jazz-jamboree(subst:$n:$c:$g)
jazz - rock(subst:$n:$c:$g)	jazz-rock(subst:$n:$c:$g)
jazz - rockowość(subst:$n:$c:$g)	jazz-rockowość(subst:$n:$c:$g)
jiu - jitsu(subst:$n:$c:$g)	jiu-jitsu(subst:$n:$c:$g)
jo - jo(subst:$n:$c:$g)	jo-jo(subst:$n:$c:$g)
ju - jitsu(subst:$n:$c:$g)	ju-jitsu(subst:$n:$c:$g)
K 2(subst:$n:$c:$g)	K2(subst:$n:$c:$g)
Kabardo - Bałkaria(subst:$n:$c:$g)	Kabardo-Bałkaria(subst:$n:$c:$g)
Kaj - szek(subst:$n:$c:$g)	Kaj-szek(subst:$n:$c:$g)
kala - azar(subst:$n:$c:$g)	kala-azar(subst:$n:$c:$g)
Karaczajo - Czerkiesja(subst:$n:$c:$g)	Karaczajo-Czerkiesja(subst:$n:$c:$g)
Kara - Kum(subst:$n:$c:$g)	Kara-Kum(subst:$n:$c:$g)
Karpato - Ukraina(subst:$n:$c:$g)	Karpato-Ukraina(subst:$n:$c:$g)
Kędzierzyn - Koźle(subst:$n:$c:$g)	Kędzierzyn-Koźle(subst:$n:$c:$g)
KGB - ista(subst:$n:$c:$g)	KGB-ista(subst:$n:$c:$g)
kick - boxer(subst:$n:$c:$g)	kick-boxer(subst:$n:$c:$g)
kick - boxing(subst:$n:$c:$g)	kick-boxing(subst:$n:$c:$g)
kipi - kasza(subst:$n:$c:$g)	kipi-kasza(subst:$n:$c:$g)
knock - down(subst:$n:$c:$g)	knock-down(subst:$n:$c:$g)
knock - out(subst:$n:$c:$g)	knock-out(subst:$n:$c:$g)
know - how(subst:$n:$c:$g)	know-how(subst:$n:$c:$g)
koka - kola(subst:$n:$c:$g)	koka-kola(subst:$n:$c:$g)
Kon - Tiki(subst:$n:$c:$g)	Kon-Tiki(subst:$n:$c:$g)
KOR - owiec(subst:$n:$c:$g)	KOR-owiec(subst:$n:$c:$g)
kujawsko - pomorskie(subst:$n:$c:$g)	kujawsko-pomorskie(subst:$n:$c:$g)
Ku - Klux - Klan(subst:$n:$c:$g)	Ku-Klux-Klan(subst:$n:$c:$g)
kulturalno - oświatowy(subst:$n:$c:$g)	kulturalno-oświatowy(subst:$n:$c:$g)
kung - fu(subst:$n:$c:$g)	kung-fu(subst:$n:$c:$g)
Kyzył - Kum(subst:$n:$c:$g)	Kyzył-Kum(subst:$n:$c:$g)
Lääne - Virumaa(subst:$n:$c:$g)	Lääne-Virumaa(subst:$n:$c:$g)
lambeth - walk(subst:$n:$c:$g)	lambeth-walk(subst:$n:$c:$g)
lapis - lazuli(subst:$n:$c:$g)	lapis-lazuli(subst:$n:$c:$g)
Lévi - Strauss(subst:$n:$c:$g)	Lévi-Strauss(subst:$n:$c:$g)
majster - klepka(subst:$n:$c:$g)	majster-klepka(subst:$n:$c:$g)
make - up(subst:$n:$c:$g)	make-up(subst:$n:$c:$g)
m - c(subst:$n:$c:$g)	m-c(subst:$n:$c:$g)
Midi - Pyrénées(subst:$n:$c:$g)	Midi-Pyrénées(subst:$n:$c:$g)
misz - masz(subst:$n:$c:$g)	misz-masz(subst:$n:$c:$g)
MS - DOS(subst:$n:$c:$g)	MS-DOS(subst:$n:$c:$g)
Multi - Vita(subst:$n:$c:$g)	Multi-Vita(subst:$n:$c:$g)
music - hall(subst:$n:$c:$g)	music-hall(subst:$n:$c:$g)
newage ’ owość(subst:$n:$c:$g)	newage’owość(subst:$n:$c:$g)
nieanglo - amerykańskość(subst:$n:$c:$g)	nieanglo-amerykańskość(subst:$n:$c:$g)
nieaustro - węgierskość(subst:$n:$c:$g)	nieaustro-węgierskość(subst:$n:$c:$g)
niee - mailowość(subst:$n:$c:$g)	niee-mailowość(subst:$n:$c:$g)
niegrzbieto - brzuszność(subst:$n:$c:$g)	niegrzbieto-brzuszność(subst:$n:$c:$g)
niehip - hopowość(subst:$n:$c:$g)	niehip-hopowość(subst:$n:$c:$g)
niejazz - rockowość(subst:$n:$c:$g)	niejazz-rockowość(subst:$n:$c:$g)
nienon - ironowość(subst:$n:$c:$g)	nienon-ironowość(subst:$n:$c:$g)
nie - NRD - owskość(subst:$n:$c:$g)	nie-NRD-owskość(subst:$n:$c:$g)
nie - NRF - owskość(subst:$n:$c:$g)	nie-NRF-owskość(subst:$n:$c:$g)
nie - NSZ - owskość(subst:$n:$c:$g)	nie-NSZ-owskość(subst:$n:$c:$g)
nieosko - umbryjskość(subst:$n:$c:$g)	nieosko-umbryjskość(subst:$n:$c:$g)
nieping - pongowość(subst:$n:$c:$g)	nieping-pongowość(subst:$n:$c:$g)
nie - PiS - owskość(subst:$n:$c:$g)	nie-PiS-owskość(subst:$n:$c:$g)
niepop - artowskość(subst:$n:$c:$g)	niepop-artowskość(subst:$n:$c:$g)
niepółnoco - wschodniość(subst:$n:$c:$g)	niepółnoco-wschodniość(subst:$n:$c:$g)
niepółnoco - zachodniość(subst:$n:$c:$g)	niepółnoco-zachodniość(subst:$n:$c:$g)
nie - PTTK - owskość(subst:$n:$c:$g)	nie-PTTK-owskość(subst:$n:$c:$g)
nierock ’ n ’ rollowość(subst:$n:$c:$g)	nierock’n’rollowość(subst:$n:$c:$g)
niesemito - chamickość(subst:$n:$c:$g)	niesemito-chamickość(subst:$n:$c:$g)
nie - SLD - owskość(subst:$n:$c:$g)	nie-SLD-owskość(subst:$n:$c:$g)
niesoftware ’ owość(subst:$n:$c:$g)	niesoftware’owość(subst:$n:$c:$g)
niestaro - cerkiewno - słowiańskość(subst:$n:$c:$g)	niestaro-cerkiewno-słowiańskość(subst:$n:$c:$g)
nietien - szańskość(subst:$n:$c:$g)	nietien-szańskość(subst:$n:$c:$g)
nieuralo - ałtajskość(subst:$n:$c:$g)	nieuralo-ałtajskość(subst:$n:$c:$g)
nie - VAT - owskość(subst:$n:$c:$g)	nie-VAT-owskość(subst:$n:$c:$g)
nie - WAT - owskość(subst:$n:$c:$g)	nie-WAT-owskość(subst:$n:$c:$g)
niezero - jedynkowość(subst:$n:$c:$g)	niezero-jedynkowość(subst:$n:$c:$g)
non - iron(subst:$n:$c:$g)	non-iron(subst:$n:$c:$g)
non - ironowość(subst:$n:$c:$g)	non-ironowość(subst:$n:$c:$g)
non - violence(subst:$n:$c:$g)	non-violence(subst:$n:$c:$g)
NRD - owskość(subst:$n:$c:$g)	NRD-owskość(subst:$n:$c:$g)
NRF - owskość(subst:$n:$c:$g)	NRF-owskość(subst:$n:$c:$g)
NSDAP - owiec(subst:$n:$c:$g)	NSDAP-owiec(subst:$n:$c:$g)
NSZ - owskość(subst:$n:$c:$g)	NSZ-owskość(subst:$n:$c:$g)
Nuku ’ alofa(subst:$n:$c:$g)	Nuku’alofa(subst:$n:$c:$g)
O ’ ahu(subst:$n:$c:$g)	O’ahu(subst:$n:$c:$g)
O ’ Connell(subst:$n:$c:$g)	O’Connell(subst:$n:$c:$g)
O ’ Neill(subst:$n:$c:$g)	O’Neill(subst:$n:$c:$g)
one - step(subst:$n:$c:$g)	one-step(subst:$n:$c:$g)
op - art(subst:$n:$c:$g)	op-art(subst:$n:$c:$g)
opéra - ballet(subst:$n:$c:$g)	opéra-ballet(subst:$n:$c:$g)
ORMO - wiec(subst:$n:$c:$g)	ORMO-wiec(subst:$n:$c:$g)
Or - Ot(subst:$n:$c:$g)	Or-Ot(subst:$n:$c:$g)
osko - umbryjskość(subst:$n:$c:$g)	osko-umbryjskość(subst:$n:$c:$g)
party - line(subst:$n:$c:$g)	party-line(subst:$n:$c:$g)
Pas - de - Calais(subst:$n:$c:$g)	Pas-de-Calais(subst:$n:$c:$g)
passe - partout(subst:$n:$c:$g)	passe-partout(subst:$n:$c:$g)
peep - show(subst:$n:$c:$g)	peep-show(subst:$n:$c:$g)
Pektu - san(subst:$n:$c:$g)	Pektu-san(subst:$n:$c:$g)
Pen - Club(subst:$n:$c:$g)	Pen-Club(subst:$n:$c:$g)
PEN - Club(subst:$n:$c:$g)	PEN-Club(subst:$n:$c:$g)
Pen - Club(subst:$n:$c:$g)	Pen-Club(subst:$n:$c:$g)
PEN - Club(subst:$n:$c:$g)	PEN-Club(subst:$n:$c:$g)
pepsi - cola(subst:$n:$c:$g)	pepsi-cola(subst:$n:$c:$g)
pick - up(subst:$n:$c:$g)	pick-up(subst:$n:$c:$g)
pickk - uuup(subst:$n:$c:$g)	pickk-uuup(subst:$n:$c:$g)
pi - em(subst:$n:$c:$g)	pi-em(subst:$n:$c:$g)
pince - nez(subst:$n:$c:$g)	pince-nez(subst:$n:$c:$g)
ping - pongowość(subst:$n:$c:$g)	ping-pongowość(subst:$n:$c:$g)
ping - pong(subst:$n:$c:$g)	ping-pong(subst:$n:$c:$g)
PiS - owskość(subst:$n:$c:$g)	PiS-owskość(subst:$n:$c:$g)
pitu - pitu(subst:$n:$c:$g)	pitu-pitu(subst:$n:$c:$g)
ple - ple(subst:$n:$c:$g)	ple-ple(subst:$n:$c:$g)
pocket - book(subst:$n:$c:$g)	pocket-book(subst:$n:$c:$g)
południo - wschód(subst:$n:$c:$g)	południo-wschód(subst:$n:$c:$g)
południo - zachód(subst:$n:$c:$g)	południo-zachód(subst:$n:$c:$g)
pop - artowskość(subst:$n:$c:$g)	pop-artowskość(subst:$n:$c:$g)
pop - art(subst:$n:$c:$g)	pop-art(subst:$n:$c:$g)
pop - music(subst:$n:$c:$g)	pop-music(subst:$n:$c:$g)
porno - biznes(subst:$n:$c:$g)	porno-biznes(subst:$n:$c:$g)
porno - film(subst:$n:$c:$g)	porno-film(subst:$n:$c:$g)
porno - shop(subst:$n:$c:$g)	porno-shop(subst:$n:$c:$g)
Port - au - Prince(subst:$n:$c:$g)	Port-au-Prince(subst:$n:$c:$g)
Port - aux - Français(subst:$n:$c:$g)	Port-aux-Français(subst:$n:$c:$g)
porte - parole(subst:$n:$c:$g)	porte-parole(subst:$n:$c:$g)
porto - franco(subst:$n:$c:$g)	porto-franco(subst:$n:$c:$g)
Port - of - Spain(subst:$n:$c:$g)	Port-of-Spain(subst:$n:$c:$g)
Porto - Novo(subst:$n:$c:$g)	Porto-Novo(subst:$n:$c:$g)
północo - wschodniość(subst:$n:$c:$g)	północo-wschodniość(subst:$n:$c:$g)
północo - wschód(subst:$n:$c:$g)	północo-wschód(subst:$n:$c:$g)
północo - zachodniość(subst:$n:$c:$g)	północo-zachodniość(subst:$n:$c:$g)
północo - zachód(subst:$n:$c:$g)	północo-zachód(subst:$n:$c:$g)
PR - owiec(subst:$n:$c:$g)	PR-owiec(subst:$n:$c:$g)
P + R(subst:$n:$c:$g)	P+R(subst:$n:$c:$g)
PTTK - owskość(subst:$n:$c:$g)	PTTK-owskość(subst:$n:$c:$g)
rendez - vous(subst:$n:$c:$g)	rendez-vous(subst:$n:$c:$g)
r - k(subst:$n:$c:$g)	r-k(subst:$n:$c:$g)
Robbe - Grillet(subst:$n:$c:$g)	Robbe-Grillet(subst:$n:$c:$g)
rock ’ n ’ rollowość(subst:$n:$c:$g)	rock’n’rollowość(subst:$n:$c:$g)
rock ’ n ’ roll(subst:$n:$c:$g)	rock’n’roll(subst:$n:$c:$g)
rock - opera(subst:$n:$c:$g)	rock-opera(subst:$n:$c:$g)
rolls - royce(subst:$n:$c:$g)	rolls-royce(subst:$n:$c:$g)
ro - ro(subst:$n:$c:$g)	ro-ro(subst:$n:$c:$g)
Rosz - ha - szana(subst:$n:$c:$g)	Rosz-ha-szana(subst:$n:$c:$g)
Saint - Barthélemy(subst:$n:$c:$g)	Saint-Barthélemy(subst:$n:$c:$g)
Saint - Denis(subst:$n:$c:$g)	Saint-Denis(subst:$n:$c:$g)
Saint - Martin(subst:$n:$c:$g)	Saint-Martin(subst:$n:$c:$g)
Saint - Pierre(subst:$n:$c:$g)	Saint-Pierre(subst:$n:$c:$g)
Saint - Simon(subst:$n:$c:$g)	Saint-Simon(subst:$n:$c:$g)
savoir - vivre(subst:$n:$c:$g)	savoir-vivre(subst:$n:$c:$g)
schwarz - gelber(subst:$n:$c:$g)	schwarz-gelber(subst:$n:$c:$g)
semito - chamickość(subst:$n:$c:$g)	semito-chamickość(subst:$n:$c:$g)
sex - shop(subst:$n:$c:$g)	sex-shop(subst:$n:$c:$g)
SGGW - AR(subst:$n:$c:$g)	SGGW-AR(subst:$n:$c:$g)
short - track(subst:$n:$c:$g)	short-track(subst:$n:$c:$g)
show - biznes(subst:$n:$c:$g)	show-biznes(subst:$n:$c:$g)
show - business(subst:$n:$c:$g)	show-business(subst:$n:$c:$g)
Skarżysko - Kamienna(subst:$n:$c:$g)	Skarżysko-Kamienna(subst:$n:$c:$g)
s - ka(subst:$n:$c:$g)	s-ka(subst:$n:$c:$g)
SLD - owskość(subst:$n:$c:$g)	SLD-owskość(subst:$n:$c:$g)
slow - fox(subst:$n:$c:$g)	slow-fox(subst:$n:$c:$g)
snack - bar(subst:$n:$c:$g)	snack-bar(subst:$n:$c:$g)
software ’ owość(subst:$n:$c:$g)	software’owość(subst:$n:$c:$g)
springer - spaniel(subst:$n:$c:$g)	springer-spaniel(subst:$n:$c:$g)
SS - man(subst:$n:$c:$g)	SS-man(subst:$n:$c:$g)
staro - cerkiewno - słowiańskość(subst:$n:$c:$g)	staro-cerkiewno-słowiańskość(subst:$n:$c:$g)
stock - car(subst:$n:$c:$g)	stock-car(subst:$n:$c:$g)
stop - klatka(subst:$n:$c:$g)	stop-klatka(subst:$n:$c:$g)
strip - tease(subst:$n:$c:$g)	strip-tease(subst:$n:$c:$g)
Strumph - Wojtkiewicz(subst:$n:$c:$g)	Strumph-Wojtkiewicz(subst:$n:$c:$g)
Syr - daria(subst:$n:$c:$g)	Syr-daria(subst:$n:$c:$g)
sznaps - baryton(subst:$n:$c:$g)	sznaps-baryton(subst:$n:$c:$g)
tai - chi(subst:$n:$c:$g)	tai-chi(subst:$n:$c:$g)
talk - show(subst:$n:$c:$g)	talk-show(subst:$n:$c:$g)
talmi - złoto(subst:$n:$c:$g)	talmi-złoto(subst:$n:$c:$g)
tam - tamista(subst:$n:$c:$g)	tam-tamista(subst:$n:$c:$g)
tam - tam(subst:$n:$c:$g)	tam-tam(subst:$n:$c:$g)
Tele - Fonika(subst:$n:$c:$g)	Tele-Fonika(subst:$n:$c:$g)
tie - break(subst:$n:$c:$g)	tie-break(subst:$n:$c:$g)
Tien - szan(subst:$n:$c:$g)	Tien-szan(subst:$n:$c:$g)
tien - szańskość(subst:$n:$c:$g)	tien-szańskość(subst:$n:$c:$g)
time - sharing(subst:$n:$c:$g)	time-sharing(subst:$n:$c:$g)
tingel - tangel(subst:$n:$c:$g)	tingel-tangel(subst:$n:$c:$g)
toto - lotek(subst:$n:$c:$g)	toto-lotek(subst:$n:$c:$g)
Toulouse - Lautrec(subst:$n:$c:$g)	Toulouse-Lautrec(subst:$n:$c:$g)
tse - tse(subst:$n:$c:$g)	tse-tse(subst:$n:$c:$g)
Tse - tung(subst:$n:$c:$g)	Tse-tung(subst:$n:$c:$g)
T - shirt(subst:$n:$c:$g)	T-shirt(subst:$n:$c:$g)
u - boot(subst:$n:$c:$g)	u-boot(subst:$n:$c:$g)
U - Boot(subst:$n:$c:$g)	U-Boot(subst:$n:$c:$g)
u - lock(subst:$n:$c:$g)	u-lock(subst:$n:$c:$g)
uralo - ałtajskość(subst:$n:$c:$g)	uralo-ałtajskość(subst:$n:$c:$g)
VAT - owskość(subst:$n:$c:$g)	VAT-owskość(subst:$n:$c:$g)
vis - à - vis(subst:$n:$c:$g)	vis-à-vis(subst:$n:$c:$g)
vol - au - vent(subst:$n:$c:$g)	vol-au-vent(subst:$n:$c:$g)
