ARCOXIA<sup>®</sup> | 35852769	1 tabl. powl. zawiera 30 mg, 60 mg lub 90 mg etorykoksybu
NeoRecormon<sup>®</sup> 10 000; -20 000; -60 000 | 2992772	1 wkład zawiera 10 000 j.m., 20 000 j.m., lub 60 000 j.m. co odpowiada 83 µg, 166 µg lub 498epoetyny beta (rekombinowanej ludzkiej erytropoetyny) oraz 1 ml rozpuszczalnika (woda do wstrzykiwań z alkoholem benzylowym i chlorkiem benzalkoniowym jako konserwantami). 1 ml roztworu do wstrzykiwań zawiera 10 000 j.m., 20 000 j.m. lub 60 000 j.m. epoetyny beta.
Neparvis | 31951121	1 tabl. powl. zawiera 24,3 mg sakubitrylu i 25,7 mg walsartanu (w postaci kompleksu soli sodowych sakubitrylu i walsartanu).
Neupogen<sup>®</sup> | 2176	1 amp.-strzyk. zawiera 300 µg (30 mln jednostek) lub 480 µg (48 mln jednostek) filgrastymu. 1 fiolka zawiera 300 µg (30 mln jednostek) filgrastymu. 5 amp.-strzyk. zawiera 600 µg (60 mln jednostek) lub 960 µg (96 mln jednostek) filgrastymu.
Nifuroksazyd Hasco | 378733	5 ml zawiesiny zawiera 220 mg nifuroksazydu oraz propylu parahydroksybenzoesan, metylu parahydroksybenzoesan i sorbitol ciekły niekrystalizujący, substancje pomocnicze biologicznie czynne.
Nivestim | 10583555	1 amp.-strzyk. zawiera 12 mln j. filgrastymu w 0,2 ml roztw. 1 amp.-strzyk. zawiera 30 mln j. lub 48 mln j. filgrastymu w 0,5 ml roztw.
Nootropil<sup>®</sup> - (IR) | 37694946	1 tabl. powl. 800 mg lub 1,2 g piracetamu.
Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot; Novo-Helisen<sup>®</sup> Depot | 2244; 22930937; 22931987; 22932461; 22932546; 22932771; 22932941; 22933597; 22936834; 22937109; 22937149; 22937524; 22937605; 22938086; 22938947; 22938963; 23097916	Wyciągi alergenowe pochodzenia roślinnego (pyłki): stężenie 0 zawiera 5 TU/ml lub 2,5 PNU/ml, stężenie 1 zawiera 50 TU/ml lub 25 PNU/ml, stężenie 2 zawiera 500 TU/ml lub 250 PNU/ml, stężenie 3 zawiera 5000 TU/ml lub 2500 PNU/ml. Wyciągi alergenowe pochodzenia zwierzęcego (sierść, nabłonki, pierze): stężenie 0 zawiera 2,5 PNU/ml, stężenie 1 zawiera 25 PNU/ml, stężenie 2 zawiera 250 PNU/ml, stężenie 3 zawiera 2500 PNU/ml. Wyciągi alergenowe grzybów pleśniowych: stężenie 0 zawiera 0,5 PNU/ml, stężenie 1 zawiera 5 PNU/ml, stężenie 2 zawiera 50 PNU/ml, stężenie 3 zawiera 500 PNU/ml. Wyciągi alergenowe roztoczy kurzu domowego: stężenie 0 zawiera 5 TU/ml lub 5 PNU/ml, stężenie 1 zawiera 50 TU/ml lub 50 PNU, stężenie 2 zawiera 500 TU/ml lub 500 PNU/ml, stężenie 3 zawiera 5000 TU/ml lub 5000 PNU/ml.
NovoEight<sup>®</sup> | 27783057	1 fiol. z proszkiem zawiera nominalnie 250, 500, 1000, 1500, 2000, 3000 j.m. ludzkiego czynnika krzepnięcia VIII (rDNA), turoktokogu alfa. Po rekonstytucji produkt leczniczy zawiera ok. 62,5, 125, 250, 375, 500, 750 j.m./ml  ludzkiego czynnika krzepnięcia VIII (rDNA), turoktokogu alfa. Aktywność (j.m.) jest oznaczana metodą chromogenną zgodnie z Farmakopeą Europejską. Swoista aktywność produktu leczniczego wynosi ok. 8300 j.m./mg białka. Turoktokog alfa (ludzki czynnik krzepnięcia VIII (rDNA) jest oczyszczonym białkiem zawierającym 1445 aminokwasów o przybliżonej masie cząsteczkowej166 kDa. Jest otrzymywany w wyniku rekombinacji DNA w komórkach jajnika chomika chińskiego (ang. CHO) i przygotowywany bez dodatku jakichkolwiek białek pochodzenia ludzkiego lub zwierzęcego w procesie hodowli komórek, oczyszczania czy tworzenia produktu końcowego. Turoktokog alfa jest rekombinowanym ludzkim czynnikiem krzepnięcia VIII ze skróconą domeną B (która składa się z 21 aminokwasów domeny B naturalnego czynnika VIII), bez jakichkolwiek innych modyfikacji sekwencji aminokwasowej.
Novofem<sup>®</sup> | 254671	1 tabl. powl. biała zawiera półwodzian estradiolu - odpowiadający 1 mg bezwodnego estradiolu oraz 1 mg octanu noretisteronu. 1 tabl. powl. czerwona zawiera półwodzian estradiolu - odpowiadający 1 mg bezwodnego estradiolu.
Nplate<sup>®</sup> | 7092045	1 fiolka zawiera 250 µg lub 500 µg romiplostymu w postaci proszku do sporządzania roztworu do wstrzykiwań lub 1 zestaw zawiera 250 µg lub 500 µg romiplostymu w postaci proszku i rozpuszczalnik do sporządzania roztworu do wstrzykiwań.
Numeta G 13%E | 19883438	300 ml emulsji zawiera 80 ml 50% roztworu glukozy, 160 ml 5,9% roztworu aminokwasów z elektrolitami i 60 ml 12,5% emulsji tłuszczowej.
Numeta G 16%E | 20490360	500 ml emulsji zawiera 155 ml 50% roztworu glukozy, 221 ml 5,9% roztworu aminokwasów z elektrolitami i 124 ml 12,5% emulsji tłuszczowej.
Nutriflex<sup>®</sup> Basal | 2260	Dwukomorowy pojemnik: komora dolna - 600 ml lub 1200 ml roztw. zawiera glukozę, chlorek sodu i chlorek wapnia; komora górna - 400 ml lub 800 ml roztw. zawiera pozostałe składniki. Po połączeniu zawartości obu komór otrzymuje się 1000 ml lub 2000 ml roztw. o składzie: 1000 ml preparatu zawiera: 1,88 g izoleucyny, 2,5 g leucyny, 2,27 g chlorowodorku lizyny (1,82 g lizyny), 1,56 g metioniny, 2,81 g fenyloalaniny, 1,45 g treoniny, 0,46 g tryptofanu, 2,08 g waliny, 3,98 g monoglutaminianu argininy (2,16 g argininy, 1,82 g kwasu glutaminowego), 1,35 g chlorowodorku histydyny (1,0 g histydyny), 3,88 g alaniny, 1,2 g kwasu asparaginowego, 0,98 g kwasu glutaminowego, 1,32 g glicyny, 2,72 g proliny, 2,4 g seryny,1,23 g czterowodnego octanu magnezu, 3,2 g trójwodnego octanu sodu, 1,74 g dwuwodnego jednozasadowego fosforanu potasu, 0,96 g wodorotlenku potasu, 0,1 g wodorotlenku sodu, 137,5 g jednowodnej glukozy (co odpowiada 125,0 g glukozy), 1,4 g chlorku sodu, 0,53 g dwuwodnego chlorku wapnia. 1000 ml preparatu dostarcza: 49,9 mmol sodu, 30 mmol potasu, 3,6 mmol wapnia, 5,7 mmol magnezu, 50 mmol chlorków, 12,8 mmol fosforanów, 35 mmol octanów, 32 g aminokwasów (4,6 g azotu). Wartość energetyczna: 2640 kJ (630 kcal). Osmolarność: 1150 mosmol/l.
Nutriflex<sup>®</sup> Peri | 2261	Dwukomorowy pojemnik: komora dolna - 600 ml lub 1200 ml roztworu zawiera glukozę, chlorek sodu i chlorek wapnia; komora górna - 400 ml lub 800 ml roztworu zawiera pozostałe składniki. Po połączeniu zawartości obu komór otrzymuje się 1000 ml lub 2000 ml roztworu o składzie: 1000 ml preparatu zawiera: 2,34 g izoleucyny, 3,13 g leucyny, 2,84 g chlorowodorku lizyny (2,27 g lizyny), 1,96 g metioniny, 3,51 g fenyloalaniny, 1,82 g treoniny, 0,57 g tryptofanu, 2,6 g waliny, 4,98 g monoglutaminianu argininy (2,7 g argininy, 2,28 g kwasu glutaminowego), 1,69 g chlorowodorku histydyny (1,25 g histydyny), 4,85 g alaniny, 1,5 g kwasu asparaginowego, 1,22 g kwasu glutaminowego, 1,65 g glicyny, 3,4 g proliny, 3,0 g seryny, 0,86 g czterowodnego octanu magnezu, 1,56 g trójwodnego octanu sodu, 0,78 g jednozasadowego fosforanu potasu, 0,52 g wodorotlenku potasu, 0,5 g wodorotlenku sodu, 88,0 g jednowodnej glukozy (co odpowiada 80,0 g glukozy), 0,17 g chlorku sodu, 0,37 g dwuwodnego chlorku wapnia. 1000 ml preparatu dostarcza: 27 mmol sodu, 15 mmol potasu, 2,5 mmol wapnia, 4 mmol magnezu, 31,6 mmol chloru, 5,7 mmol fosforanów, 19,5 mmol octanów, 40 g aminokwasów (5,7 g azotu). Wartość energetyczna: 2010 kJ (480 kcal). Osmolarność: 900 mosmol/l.
Nutriflex<sup>®</sup> Plus | 2262	Dwukomorowy pojemnik: komora dolna - 600 ml lub 1200 ml roztw. zawiera glukozę i chlorek wapnia; komora górna - 400 ml lub 800 ml roztw. zawiera pozostałe składniki. Po połączeniu zawartości obu komór otrzymuje się 1000 ml lub 2000 ml roztw. o składzie: 1000 ml preparatu zawiera: 2,82 g izoleucyny, 3,76 g leucyny, 3,41 g chlorowodorku lizyny (2,73 g lizyny), 2,35 g metioniny, 4,21 g fenyloalaniny, 2,18 g treoniny, 0,68 g tryptofanu, 3,12 g waliny, 5,98 g monoglutaminianu argininy (3,24 g argininy, 2,74 g kwasu glutaminowego), 2,03 g chlorowodorku histydyny (1,5 g histydyny), 5,82 g alaniny, 1,8 g kwasu asparaginowego, 1,47 g kwasu glutaminowego, 1,98 g glicyny, 4,08 g proliny, 3,6 g seryny,1,23 g czterowodnego octanu magnezu, 1,56 g trójwodnego octanu sodu, 3,12 g dwuwodnego jednozasadowego fosforanu potasu, 1,4 g wodorotlenku potasu, 0,23 g wodorotlenku sodu, 165,0 g jednowodnej glukozy (co odpowiada 150,0 g glukozy), 0,53 g chlorku sodu. 1000 ml preparatu dostarcza: 37,2 mmol sodu, 25 mmol potasu, 3,6 mmol wapnia, 5,7 mmol magnezu, 35,5 mmol chloru, 20 mmol fosforanów, 22,9 mmol octanów, 48 g aminokwasów (6,8 g azotu). Wartość energetyczna: 3305 kJ (790 kcal). Osmolarność: 1400 mosmol/l.
Nutriflex<sup>®</sup> Special | 2263	Dwukomorowy pojemnik: komora dolna - 500 ml lub 750 ml roztworu zawiera glukozę i chlorek wapnia; komora górna - 500 ml lub 750 ml roztworu zawiera pozostałe składniki. Po połączeniu zawartości obu komór otrzymuje się 1000 ml lub 1500 ml roztworu o składzie: 1000 ml preparatu zawiera: 4,11 g izoleucyny, 5,48 g leucyny, 4,97 g chlorowodorku lizyny (3,98 g lizyny), 3,42 g metioniny, 6,15 g fenyloalaniny, 3,18 g treoniny, 1,0 g tryptofanu, 4,54 g waliny, 8,72 g monoglutaminianu argininy (4,73 g argininy, 3,99 g kwasu glutaminowego), 2,96 g chlorowodorku histydyny (2,19 g histydyny), 8,49 g alaniny, 2,63 g kwasu asparaginowego, 2,15 g kwasu glutaminowego, 2,89 g glicyny, 5,95 g proliny, 5,25 g seryny, 1,08 g czterowodnego octanu magnezu, 1,63 g trójwodnego octanu sodu, 2,0 g dwuwodnego jednozasadowego fosforanu potasu, 0,62 g wodorotlenku potasu, 1,14 g wodorotlenku sodu, 264,0 g jednowodnej glukozy (co odpowiada 240,0 g glukozy), 0,6 g chlorku wapnia. 1000 ml preparatu dostarcza: 40,5 mmol sodu, 25,7 mmol potasu, 4,1 mmol wapnia, 5,0 mmol magnezu, 49,5 mmol chlorków, 14,7 mmol fosforanów, 22 mmol octanów, 70 g aminokwasów (10 g azotu). Wartość energetyczna: 5190 kJ (1240 kcal). Osmolarność: 2100 mosmol/l.
Nutrison | 2267	100 ml płynu zawiera: 4 g białka, 12,3 g węglowodanów, 3,9 g tłuszczu; składniki mineralne: 100 mg sodu, 150 mg potasu, 125 mg chlorków, 80 mg wapnia, 72 mg fosforu, 23 mg magnezu, 0,18 mg miedzi, 0,33 mg manganu, 1,2 mg cynku, 1,6 mg żelaza, 0,1 mg fluorków, 13 µg jodu, 5,7 µg selenu, 6,7 µg chromu, 10,0 µg molibdenu oraz witaminy: 82,0 µg wit. A, 0,7 µg wit. D<sub>3</sub>, 1,3 mg wit. E, 5,3 µg wit. K<sub>1</sub>, 10,0 mg wit. C, 0,15 mg wit. B<sub>1</sub>, 0,16 mg wit. B<sub>2</sub>, 0,17 mg wit. B<sub>6</sub>, 0,21 µg wit. B<sub>12</sub>, 1,8 mg niacyny, 27 µg kwasu foliowego, 4 µg biotyny, 0,53 mg kwasu pantotenowego, 37 mg choliny. Osmolarność 260 mosmol/l. Wartość energetyczna 100 ml płynu: 420 KJ (100 kcal).
Nutryelt | 33158158	1 amp. (µg/10 ml) zawiera: 69 700 mg glukonianu cynku, 2142,4 mg glukonianu miedzi, 445,69 glukonianu manganu, 2099,5 mg fluorku sodu, 170,06 mg jodku potasu, 153,32 mg seleninu sodu, 42,93 mg molibdenianu sodu, 30,45 mg chlorku chromu i 7988,2 mg glukonianu żelaza.
Nuwiq | 28520946	1 fiol. zawiera nominalnie 250 j.m., 500 j.m., 1000 j.m. lub 2000 j.m.ludzkiego VIII czynnika krzepnięcia (rDNA), simoktokog &alpha;.
Octagam | 11147989	1 ml roztw. zawiera 50 mg białka osocza ludzkiego, w tym co najmniej 95% Immunoglobuliny IgG i nie więcej niż 0,2 mg IgA.
Octaplex | 11148016	Preparat występuje w postaci proszku i rozpuszczalnika do sporządzania roztw. do inf., zawiera ludzki kompleks protrombiny. Zawartość po rekonstytucji w 20 ml wody do wstrzykiwań: ludzki II czynnik krzepnięcia krwi 14-38 j.m./ml, ludzki VII czynnik krzepnięcia krwi 9-24 j.m./ml, ludzki IX czynnik krzepnięcia krwi 25 j.m./ml, ludzki X czynnik krzepnięcia krwi 18-30 j.m./ml, białko C 13-31 j.m./ml, białko S 12-32 j.m./ml. Zawartość białka całkowitego na fiolkę wynosi 260-820 mg. Aktywność swoista produktu wynosi &ge;0,6 j.m./mg białka, wyrażona jako aktywność czynnika IX.
Odefsey | 31954549	1 tabl. powl. zawiera 200 mg emtrycytabiny, chlorowodorku rylpiwiryny odpowiada 25 mg rylpiwiryny oraz fumaranu alafenamidu tenofowiru co odpowiada 25 mg alafenamidu tenofowiru.
Oesclim<sup>®</sup> 25; -50 | 2278	1 system transdermalny wielkości 11 cm<sup>2</sup> lub 22 cm<sup>2</sup> zawiera 5 mg lub 10 mg 17 &beta;-estradiolu, uwalniający 25 µg lub 50 µg estradiolu w ciągu 24 h.
Omacor; Omacor - (IR); Omacor - (IR) | 3632474; 37407834; 37726808	1 kaps. elastyczna zawiera 1000 mg estrów etylowych 90 kwasów omega-3 w tym: 840 mg estru etylowe­go kwasu eikozapentaenowego (EPA) (460 mg) i estru etylowego kwasu dokozaheksaenowego (DHA) (380 mg).
Omnitrope | 13307736	1 ml roztw. zawiera 3,3 mg lub 6,7 mg somatropiny (co odpowiada 20 j.m. lub 30 j.m.).
Oralair 100 IR & 300 IR | 9921844	Wyciąg alergenów z pyłków następujących traw: Kupkówka pospolita (<i>Dactylis glomerata L.</i>), Tomka wonna (<i>Anthoxanthum odoratum L.</i>), Życica trwała (<i>Lolium perenne L.</i>), Wiechlina łąkowa (<i>Poa pratensis L.</i>) oraz Tymotka łąkowa (<i>Phleum pratense L.</i>) 100 IR lub 300 IR na tabletkę podjęzykową. Wskaźnik reaktywności IR (Index of Reactivity): jednostkę IR określono w celu mierzenia alergenności wyciągu alergenu. Wyciąg alergenu zawiera 100 IR/ml, gdy w punktowym teście skórnym, wywołuje bąbel o średnicy 7 mm u 30 pacjentów uczulonych na dany alergen (średnia geometryczna). Reaktywność skórna tych pacjentów jest jednocześnie wykazana przez dodatni wynik punktowego testu skórnego z użyciem 9% roztworu fosforanu kodeiny lub 10 mg/ml roztworu histaminy.
Oroxine | 33544807	1 tabl. produktu zawiera 27,8 µg, 55,6 µg, 83,4 µg, 97,9 µg, 111,3 µg, 124,6 µg, 139,1 µg, 152,4 µg, 166,9 µg, 194,7 µg lub 222,5 µg lewotyroksyny sodowej pięciowodnej, co odpowiada 25 µg, 50 µg, 75 µg, 88 µg, 100 µg, 112 µg, 125 µg, 137 µg, 150 µg, 175 µg lub 200 µg lewotyroksyny sodowej.
Ospen<sup>®</sup> 1000; -1500 - (IR) | 26955374	1 tabl. zawiera 1 000 000 IU (654 mg) lub 1 500 000 IU (981 mg) fenoksymetylopenicyliny potasowej.
Osteogenon<sup>®</sup> | 2328	1 tabl. powl. zawiera 830 mg kompleksu osseiny i hydroksyapatytu, co odpowiada ok. 444 mg hydroksyapatytu, 178 mg wapnia, 82 mg fosforu.
Ovaleap | 30245413	1 wkład zawiera 300 j.m., 600 j.m. lub 900 j.m. (co odpowiada 22 µg, 33 µg lub 66 µg) folitropiny &alpha; w 0,5 ml, 0,75 ml lub 1,5 ml roztw. do wstrzyk.
Oxydolor - (IR) | 29299341	1 tabl. o przedł. uwalnianiu zawiera 20 mg lub 40 mg oksykodonu chlorowodorku, co odpowiada 17,93 mg, 35,86 mg lub 71,7 mg oksykodonu.
PamiGen | 10735566	1 tabl. powl. zawiera 5 mg lub 10 mg chlorowodorku donepezylu (równoważność 4,56 mg lub 9,12 mg donepezylu).
PegIntron<sup>®</sup> | 2404	1 fiolka zawiera 50 µg, 80 µg, 100 µg, 120 µg lub 150 µg peginterferonu  &alpha;-2b w przeliczeniu na białko.
Pegasys | 13303343	1 ampułkostrzykawka zawiera 135 µg lub 180 µg peginterferonu alfa-2a* w 0,5 ml roztworu. Moc roztworu świadczy o ilości interferonu alfa-2a w cząsteczce peginterferonu alfa-2a niepoddanego pegylacji.
Pelgraz | 39977460	Każda ampułko-strzykawka zawiera 6 mg pegfilgrastymu (wytwarzany w komórkach <i>Escherichia coli </i>za pomocą techniki rekombinacji DNA, a następnie łączony z glikolem polietylenowym (PEG)) w 0,6 ml roztw. do wstrzykiwań. Uwzględniając jedynie zawartość białka stężenie wynosi 10 mg/ml (po uwzględnieniu cząsteczek glikolu polietylenowego stężenie wynosi 20 mg/ml). Mocy tego produktu leczniczego nie należy porównywać z innymi pegylowanymi lub niepegylowanymi białkami z tej samej grupy terapeutycznej.
Pentaglobin<sup>®</sup> | 2414	1 ml roztw. zawiera 50 mg białka osocza ludzkiego, w tym co najmniej 95% immunoglobuliny: immunoglobulina M (IgM) 6 mg, immunoglobulina A (IgA) 6 mg oraz immunoglobulina G (IgG) 38 mg. Rozkład podklas IgG: ok. 63% (IgG1), ok. 26% (IgG2), ok. 4% (IgG3), ok. 7% (IgG4).
Pentaxim<sup>®</sup> | 656116	1 dawka (0,5 ml) po odtworzeniu zawiera: nie mniej niż 30 j.m. toksoidu błoniczego<sup>1</sup>, nie mniej niż 40 j.m. toksoidu tężcowego<sup>1</sup>, antygeny <i>Bordetella pertussis</i>: 25 µg toksoidu krztuścowego<sup>1</sup>, 25 µg hemaglutyniny włókienkowej<sup>1</sup>, 40 j. antygenu D* inaktywowanego wirusa <i>poliomyelitis </i>typu 1, 8 j. antygenu D* inaktywowanego wirusa <i>poliomyelitis </i>typu 2, 32 j. antygenu D* inaktywowanego wirusa <i>poliomyelitis</i> typu 3, 10 µg polisacharydu<i> Haemophilus influenzae</i> typu b skoniugowanego z toksoidem tężcowym - 18-30 µg. <sup>1</sup>adsorbowany na wodorotlenku glinu, uwodnionym - 0,3 mg Al<sup>3</sup>+. * lub ekwiwalent tej ilości antygenu określony za pomocą odpowiednich metod immunochemicznych.
Perazin 0,025; -0,1 | 284696	1 tabl. 25 mg lub 100 mg zawiera 42,1 mg lub 168,4 perazyny dimaleinianu, co odpowiada 25 mg lub 100 mg perazyny.
Pergoveris | 11399753	1 fiolka zawiera 150 j.m. (ekwiwalent 11 µg) folitropiny alfa (r-hFSH) i 75 j.m. (ekwiwalent 3 µg) lutropiny alfa (r-hLH).  Sporządzony roztwór zawiera 150 j.m. r-hFSH i 75 j.m. r-hLH w 1 ml. Folitropina alfa i lutropina alfa są wytwarzane metodą inżynierii genetycznej w komórkach jajnika chomika chińskiego (ang. Chinese Hamster Ovary (CHO) cells).
Perindoprilum 123ratio | 23060134	1 tabl. powl. zawiera 3,395 mg lub 6,790 mg peryndoprylu, co odpowiada 5 mg lub 10 mg peryndoprylu tozylanu, przeliczone <i>in situ</i> na peryndopryl sodu.
Perosall C; -D; -T13 | 2435	Częściowo oczyszczony wyciąg z pyłków 12 traw i żyta (Perosall T 13), 4 chwastów (Perosall C) i 3 drzew (Perosall D). 10 ml roztworu zawiera różne stężenia alergenu pyłkowego: stężenie 1 - 10 PNU/ml, stężenie 2 - 100 PNU/ml, stężenie 3 - 1000 PNU/ml, stężenie 4 - 5000 PNU/ml. Dla osób szczególnie wrażliwych istnieje możliwość zamówienia przez lekarza stężenia "0" - 1 PNU/ml. Preparat zawiera 50% gliceryny; nie zawiera konserwantów.
Phostal | 7534	Wyciągi alergenowe: 0,1 IR/ml; 1 IR/ml; 10 IR/ml; 100 IR/ml lub 0,1 IC/ml; 1 IR/ml; 10 IC/ml; 100 IC/ml.
Pimafucort<sup>®</sup>; Pimafucort<sup>®</sup> - (IR); Pimafucort<sup>®</sup> - (IR) | 2462; 37366958; 37726507	1 g kremu lub maści zawiera 10 mg natamycyny, 10 mg hydrokortyzonu i 3500 I.U. neomycyny w postaci siarczanu neomycyny.
Plegridy | 23781621	1 amp.-strzyk. zawiera 63 µg lub 94 µg peginterferonu beta-1a w 0,5 ml roztworu do wstrzykiwań. Moc dawki wskazuje na ilość interferonu beta-1a w cząsteczce peginterferonu beta-1a bez uwzględnienia dołączonej grupy PEG. Substancja czynna, peginterferon beta-1a, jest interferonem beta-1a, wytwarzanym w komórkach jajnika chomika chińskiego, kowalencyjnie sprzężonym z metoksypolietylenoglikolem o masie 20 000 daltonów (20 kDa) z użyciem O-2-metylopropionaldehydu, jako łącznika. Mocy tego produktu leczniczego nie należy porównywać z mocą innych białek pegylowanych ani niepegylowanych z tej samej grupy terapeutycznej.
Polhumin<sup>®</sup> Mix-2 | 6611750	1 ml zawiesiny zawiera 100 j.m. biosyntetycznej, wysokooczyszczonej insuliny ludzkiej dwufazowej otrzymywanej metodą rekombinacji DNA bakterii <i>Escherichia coli</i>. 1 wkład do wstrzykiwacza zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 2 części insuliny rozpuszczalnej i 8 części insuliny izofanowej.
Polhumin<sup>®</sup> Mix-3 | 1873193	1 ml zawiesiny zawiera 100 j.m. biosyntetycznej, wysokooczyszczonej insuliny ludzkiej dwufazowej otrzymywanej metodą rekombinacji DNA bakterii <i>Escherichia coli</i>. Jeden wkład do wstrzykiwacza zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 3 części insuliny rozpuszczalnej i 7 części insuliny izofanowej.
Polhumin<sup>®</sup> Mix-4 | 6612026	1 ml zawiesiny zawiera 100 j.m. biosyntetycznej, wysokooczyszczonej insuliny ludzkiej dwufazowej otrzymywanej metodą rekombinacji DNA bakterii <i>Escherichia coli</i>. 1 wkład do wstrzykiwacza zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 4 części insuliny rozpuszczalnej i 6 części insuliny izofanowej.
Polhumin<sup>®</sup> Mix-5 | 6612176	1 ml zawiesiny zawiera 100 j.m. biosyntetycznej, wysokooczyszczonej insuliny ludzkiej dwufazowej otrzymywanej metodą rekombinacji DNA bakterii <i>Escherichia coli</i>. 1 wkład do wstrzykiwacza zawiera 3 ml zawiesiny, co odpowiada 300 j.m. insuliny dwufazowej w proporcjach 5 części insuliny rozpuszczalnej i 5 części insuliny izofanowej.
Pollinex + Rye | 11149024	Wyciągi alergenowe z pyłków 13 traw: wyczyniec łąkowy, grzebienica pospolita, kupkówka pospolita, życica trwała, wiechlina łąkowa, tomka wonna, kostrzewa łąkowa, mietlica pospolita, tymotka łąkowa, stokłosa, rajgras wyniosły, kłosówka wełnista, żyto zwyczajne. Alergeny zostały przekształcone w alergoidy po poddaniu ich działaniu aldehydu glutarowego i są adsorbowane na L-tyrozynie. Wyciągi alergenowe zostały scharakteryzowane i poddane standaryzacji za pomocą metod immunologicznych i biochemicznych, aby zapewnić stałą zawartość alergenów we wszystkich seriach oraz niezmienną siłę alergizującą. Większość alergenów mierzy się w wybranych wyciągach. Standaryzacja jest wyrażona w jednostkach standaryzowanych (SU). Fiolka nr 1 (zielona) - 600 SU/ml; fiolka nr 2 (żółta) - 1600 SU/ml; fiolka nr 3 (czerwona) - 4000 SU/ml.
Pollinex Tree | 11149028	Wyciągi alergenowe z pyłków 3 drzew: olcha, brzoza, leszczyna. Alergeny zostały przekształcone w alergoidy po poddaniu ich działaniu aldehydu glutarowego i są adsorbowane na L-tyrozynie. Wyciągi alergenowe zostały scharakteryzowane i poddane standaryzacji za pomocą metod immunologicznych i biochemicznych, aby zapewnić stałą zawartość alergenów we wszystkich seriach oraz niezmienną siłę alergizującą. Większość alergenów mierzy się w wybranych wyciągach. Standaryzacja jest wyrażona w jednostkach standaryzowanych (SU). Fiolka nr 1 (zielona) - 600 SU/ml; fiolka nr 2 (żółta) - 1600 SU/ml; fiolka nr 3 (czerwona) - 4000 SU/ml.
Posterisan<sup>®</sup> H | 2538	1 czopek zawiera 387,1 mg standaryzowanej zawiesiny kultury bakteryjnej <i>Escherichia coli</i> (zabitej 6,6 mg płynnego fenolu). W skład zawiesiny wchodzą składniki komórkowe i produkty przemiany z 1 mld bakterii <i>Escherichia coli</i> zabitych i konserwowanych fenolem i 5 mg hydrokortyzonu. 1 g maści zawiera 166,7 mg standaryzowanej zawiesiny kultury bakteryjnej <i>Escherichia coli</i> (zabitej 3,3 mg płynnego fenolu). W skład zawiesiny wchodzą składniki komórkowe i produkty przemiany z 500 mln bakterii <i>Escherichia coli</i> zabitych i konserwowanych fenolem i 2,5 mg hydrokortyzonu.
Praluent | 39970968	Każdy jednorazowy wstrzykiwacz zawiera 150 mg alirokumabu w 1 ml roztw. Każda jednorazowa amp.-strzyk. zawiera 150 mg alirokumabu w 1 ml roztw.
Pranosin | 31099414	1 ml syropu zawiera 50 mg inozyny pranobeksu: kompleksu zawierającego inozynę oraz 4-acetamidobenzoesan 2-hydroksypropylodimetyloamoniowy w stosunku molarnym 1:3.
Predasol | 35693396	1 amp. z prosz. zawiera prednizolonu sodu bursztynian w ilości równoważnej 25 mg lub 50 mg prednizolonu wodorobursztynianu, co odpowiada 19,6 mg lub 39,1 mg prednizolonu. 1 fiol. z prosz. zawiera prednizolonu sodu bursztynian w ilości równoważnej 250 mg lub 1000 mg prednizolonu wodorobursztynianu, co odpowiada 195,7 mg lub 782,7 mg prednizolonu.
Prepandrix | 31768687	Po zmieszaniu, 1 dawka (0,5 ml) zawiera: 3,75 µg rozszczepionego, inaktywowanego wirusa grypy zawierającego antygen odpowiadający: A/Indonesia/05/2005 (H5N1) wariant szczepu (PR8-IBCDC-RG2). Adiuwant AS03 zawierający 10,69 mg skwalenu, 11,86 mg DL-&alpha;-tokoferolu oraz 4,86 mg polisorbatu 80.
Prestarium<sup>®</sup> 5 mg; 10 mg | 2341334	1 tabl. powl. zawiera 3,395 mg peryndoprylu co odpowiada 5 mg peryndoprylu z argininą lub 6,790 mg peryndoprylu co odpowiada10 mg peryndoprylu z argininą.
Prestilol<sup>®</sup> | 29276412	1 tabl. powl. zawiera 5 mg lub 10 mg bisoprololu fumaranu (co odpowiada 4,24 mg lub 8,49 mg bisoprololu) oraz 5 mg lub 10 mg peryndoprylu z argininą (co odpowiada 3,395 mg lub 6,790 mg peryndoprylu).
